"taxonID","use"
"taxon-1-Microtea_debilis","Uses: The plant is employed to remedy albumin in the urine and difficult urination (Ostendorf, 1962). In Guyana, as noted by Lachman-White et al. (1987), ""The entire plant is used to make a tea which is used for palpitating heart conditions and to effect ""cooling"" of inflamed areas. The plant may be used with others, such as st. john's-bush ( Justicia secunda ) and inflammation-bush ( Vernonia cinerea ) as an abortifacient, it may be used as a lotion for ulcers, or, mixed with muniri-dan ( Siparuna guianensis ) and taken orally, in treating diabetes"". Said to be used in Guyana as a cooling drink for the head (Warren s.n.). Formerly, in French Guiana an infusion made from the entire crushed plant was used in Creole medicine for a diuretic and hypotensive drink."
"taxon-2-Microtea_maypurensis","Uses: Same as those given for Microtea debilis (Ostendorf, 1962)."
"taxon-1-Petiveria_alliacea","Uses: In Suriname, the plant is placed in chicken coops to help rid the fowl of lice, or an infusion of the plant is smeared on the birds for the same purpose (Ostendorf, 1962). In Guyana, as noted by Lachman-White et al. (1987), the entire plant is boiled, normally with minnie-root ( Ruellia tuberosa ), coconut ( Cocos nucifera ) root and pigeon-pea ( Cajanus cajan ) leaves, and the liquid used as a purgative by women suffering from ""bladder troubles"" (leucorrhoea). The plant is boiled with minnie-root, st. john's-bush ( Justicia secunda ) and inflammation-bush ( Vernonia cinerea ) and small quantities of the decoction are drunk for the relief of menstrual pains; larger doses are said to procure abortion. A decoction of the plant is also used as a tonic ""for female rejuvenation"" and as a diuretic. In French Guiana, the roots are used as an antispasmodic and febrifuge, and the leaves are decocted as a sudorific (Grenand et al., 1987). In French Guiana, the plant is locally used in sorcery to expel evil spirits (note on Burgot 4), and to bring good luck (Gely 53); a decoction is used to wash the walls of a house to protect it from evil spirits (Oldeman B-3892). Also in French Guiana the plant is used as an ingredient in a bath to treat fever (Grenand 2875)."
"taxon-1-Phytolacca_rivinoides","Uses: Often cultivated in Suriname for the leaves, which are boiled and eaten as a vegetable (Ostendorf, 1962 and herbarium label of Hugh-Jones 25). As noted by Lachman-White et al. (1987), in Guyana ""The leaves and young stems are eaten as a remedy for diabetes and a decoction of roots is drunk as a treatment for syphilis."" Also, in Guyana the leaves are eaten raw in salad or cooked (label of Kvist 5). Further noted as consumed as a green-leafed vegetable in Guyana (label of Archer 2295) and French Guiana (label of Mori et al. 21186)."
"taxon-1-Seguieria_americana","Uses: Based on the Prévost & Grenand and Grenand specimens from French Guiana cited above, Grenand et al. (1987) note that the Wayapi Indians use the plant as a hunting poison, and that the root and stem have almost the same effect as curare made of Strychnos guianensis ( LOGANIACEAE ), which makes the plant worthy of future intensive study."
"taxon-1-Boerhavia_diffusa","Use: French Guiana: Root is emetic and purgative."
"taxon-2-Neea_floribunda","Use: The Carib Amerindians in Guyana use the fruit for a dye to paint their faces."
"taxon-3-Neea_mollis","Use: Employed as a dye plant by the French Guiana Wayapi."
"taxon-1-Chenopodium_ambrosioides","Uses: Generally found as a weed, sometimes cultivated as a medicinal plant for the leaves, which are used as an anthelmintic (vermifuge) in the Guianas (Cook 250; Ostendorf (1962); and Moretti 913). The French Guianans use an infusion of six leaves mixed with salt in a cup, which is reportedly very beneficial for the liver, and as a children's vermifuge (Oldeman B.3909). According to Henkel 3467, the plant is used as a malaria treatment by Wapishiana Amerindians of Guyana."
"taxon-Achyranthes_aspera","Uses: In Guyana, the whole plant is decocted and used, either alone or mixed with Gossypium hirsutum, in a drink to relieve stomach problems, colds and thrush; a leaf decoction is used to treat high blood pressure; and an infusion of the whole plant is used for heart conditions (Lachman-White et al., 1987)."
"taxon-1-Alternanthera_brasiliana","Use: French Guiana: Plant used in a tea for angina (Oldeman BC. 25)."
"taxon-4-Amaranthus_dubius","Use: Cultivated for the leaves, which are prepared and eaten as a spinach-like vegetable, in Guyana (Omawale & Persaud 79), Suriname (where sold in Paramaribo markets as greens) (Archer 2677a) and French Guiana (Jacquemin 2216)."
"taxon-6-Amaranthus_spinosus","Use: In Suriname, the leaves are eaten in salads or (alone) as a vegetable (Ostendorf, 1962; Oldeman 2173)."
"taxon-7-Amaranthus_viridis","Use: Leaves are eaten as a vegetable in Guyana (cultivated, Omawale & Persaud 96) and French Guiana (Oldeman B-2875)."
"taxon-Pfaffia_glomerata","Uses: In French Guiana the plant is used to remedy fatigue (Burgot 1), and an infusion is employed to calm the nerves (Oldeman B-3894)."
"taxon-2-Portulaca_oleracea","Uses: Sometimes cultivated as a leafy vegetable in Suriname, and the leaves also mixed with sugar or soap and used for ripening abscesses (Ostendorf, 1962). In French Guiana, the Palikur Amerindians crush the leaves and stems in water, and drink the resulting liquid as an hypotensive, whereas French Guianan Creoles use a tea of the plant as an antidiabetic (e.g., Ducatillon & Gelly 49) and digestive. They also use the whole plant as an emollient for muscular aches and make a purgative and a drink for albuminuria from the plant (Grenand et al., 1987)."
"taxon-3-Portulaca_pilosa","Use: Sometimes cultivated in Suriname gardens (Ostendorf, 1962)."
"taxon-1-Talinum_fruticosum","Use: In Guyana and Suriname sometimes cultivated as a vegetable (Ostendorf, 1962)."
"taxon-1-Basella_alba","Use: Grown for the leaves, which are eaten as a spinach-like potherb in Guyana and Suriname (Ostendorf, 1962), and in French Guiana (Prévost 1482)."
"taxon-1-Drymaria_cordata","Use: The plant is used in a medicinal bath for children in French Guiana."
"taxon-55-DROSERACEAE","Economic uses: Aldrovandra , Dionaea , Drosophyllum and several Drosera 's from the Old World are grown, usually in greenhouses as curiosities and as ornamental plants."
