WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000609987,जुँगे लहरा  (Junge lahara),जुँगे लहरा ,Junge lahara,,
wfo-0000610013,भेँडे कुरो  (Bhende kuro),भेँडे कुरो ,Bhende kuro,,
wfo-0000610296,"जुँगे लहरो, अङ्गुरी झार  (Junge laharo, Anguri jhar)","जुँगे लहरो, अङ्गुरी झार ","Junge laharo, Anguri jhar",,
wfo-0000610341,भैँसी लहरा  (Bhainsi lahara),भैँसी लहरा ,Bhainsi lahara,,
wfo-0000610556,सेतो जुही  (Seto juhi),सेतो जुही ,Seto juhi,,
wfo-0000610666,सिकारी लहरा  (Sikari lahara),सिकारी लहरा ,Sikari lahara,,
wfo-0000610787,पहेँलो जुँगे लहरा  (Pahenlo junge lahara),पहेँलो जुँगे लहरा ,Pahenlo junge lahara,,
wfo-0000610989,रसगार्गी  (Rasgargi),रसगार्गी ,Rasgargi,,
wfo-0000639809,मौरे मुलो  (Maure mulo),मौरे मुलो ,Maure mulo,,
wfo-0000639822,तिमुसा  (Timusa: Amchi),तिमुसा ,Timusa: Amchi,,
wfo-0000639976,बोेङ मार  (Bong mar),बोेङ मार ,Bong mar,,
wfo-0000639977,"निर्मसी, निरबिषी  (Nirmasi, Nirbisi)","निर्मसी, निरबिषी ","Nirmasi, Nirbisi",,
wfo-0000640138,मुडुलो  (Mudulo),मुडुलो ,Mudulo,,
wfo-0000640192,अतिस  (Atis),अतिस ,Atis,,
wfo-0000640244,छारकाँग  (Chharkang: Tibetan),छारकाँग ,Chharkang: Tibetan,,
wfo-0000640689,"बिख, विषादी घाँस  (Bikh, Bishadi ghans)","बिख, विषादी घाँस ","Bikh, Bishadi ghans",,
wfo-0000640895,मौरे मुलो  (Maure mulo),मौरे मुलो ,Maure mulo,,
wfo-0001423611,"कङ्ग्राते, हात्ती पाइले  (Kangrate, Hatti paile)","कङ्ग्राते, हात्ती पाइले ","Kangrate, Hatti paile",,
wfo-0000674278,"कपतासे, मौरे मुलो  (Kaptase, Maure mulo)","कपतासे, मौरे मुलो ","Kaptase, Maure mulo",,
wfo-0001129905,युमो देउ जिन  (Yumo deu jin: Amchi),युमो देउ जिन ,Yumo deu jin: Amchi,,
wfo-0000461572,चु–रुक्पा  (Chu-rukpa: Amchi),चु–रुक्पा ,Chu-rukpa: Amchi,,
wfo-1200030243,"ब्रिमोर म्हेन्दो, नक्कोरे झार  (Brimor mhendo, Nakkore jhar)","ब्रिमोर म्हेन्दो, नक्कोरे झार ","Brimor mhendo, Nakkore jhar",,
wfo-0001233612,तिते फूल  (Tite phool),तिते फूल ,Tite phool,,
wfo-0000463300,नक्कोरे  (Nakkore),नक्कोरे ,Nakkore,,
wfo-0001130479,दाम्पाते  (Dampate),दाम्पाते ,Dampate,,
wfo-0001129326,नगोतिन चागक्युृ  (Nagotin chagkyu: Tibetan),नगोतिन चागक्युृ ,Nagotin chagkyu: Tibetan,,
wfo-0001130468,च्याकसेप  (Chyaksep: Tibetan),च्याकसेप ,Chyaksep: Tibetan,,
wfo-0000454083,नगोतिन  (Nagotin: Tibetan),नगोतिन ,Nagotin: Tibetan,,
wfo-0000454082,दाम्पाते  (Dampate),दाम्पाते ,Dampate,,
wfo-0001129571,गुह्य पाती  (Guhya pati),गुह्य पाती ,Guhya pati,,
wfo-0001133395,कोदे खबदे  (Kode khabade),कोदे खबदे ,Kode khabade,,
wfo-0001133418,कोदे खबदे  (Kode khabade),कोदे खबदे ,Kode khabade,,
wfo-0000382378,रातो कमल  (Rato kamal),रातो कमल ,Rato kamal,,
wfo-0001107159,बाँदरे  (Bandare),बाँदरे ,Bandare,,
wfo-0000733924,"फितिफिया, पतापे  (Fitiphiya, Patape: Tamang)","फितिफिया, पतापे ","Fitiphiya, Patape: Tamang",,
wfo-0000733925,"चिल्ले काठ, तेलपारो  (Chille kath, Telparo)","चिल्ले काठ, तेलपारो ","Chille kath, Telparo",,
wfo-0000733930,फितिफिया  (Fitiphiya),फितिफिया ,Fitiphiya,,
wfo-0000647564,"पाँच फल, राम फल  (Panch phal, Ram phal)","पाँच फल, राम फल ","Panch phal, Ram phal",,
wfo-0000647615,"टाटरी, राम फल  (Tatari, Ram phal)","टाटरी, राम फल ","Tatari, Ram phal",,
wfo-0000480544,"चन्द्र, सुँगुरे औँले  (Chandra, Sungure aunle)","चन्द्र, सुँगुरे औँले ","Chandra, Sungure aunle",,
wfo-0000684361,पिप्ली  (Pipli),पिप्ली ,Pipli,,
wfo-0001044227,"रकचन, चन्दर  (Rakchan, Chandar)","रकचन, चन्दर ","Rakchan, Chandar",,
wfo-0001234082,मसिनो किम्बु  (Masino kimbu),मसिनो किम्बु ,Masino kimbu,,
wfo-0001136482,"काँटा दाख, खमार  (Kanta dakh, Khamar)","काँटा दाख, खमार ","Kanta dakh, Khamar",,
wfo-0001228160,"टाँफु, केम्बु  (Tanfu, Kembu)","टाँफु, केम्बु ","Tanfu, Kembu",,
wfo-0001136482,"काँटा दाख, खमार  (Kanta dakh, Khamar)","काँटा दाख, खमार ","Kanta dakh, Khamar",,
wfo-0000405122,टोन मालु  (Ton malu: Gurung),टोन मालु ,Ton malu: Gurung,,
wfo-0001234140,टाँफु  (Tanfu),टाँफु ,Tanfu,,
wfo-0000552878,"बुढो ओखती, ठूलो औषधी  (Budho okhati, Thulo ausadhi)","बुढो ओखती, ठूलो औषधी ","Budho okhati, Thulo ausadhi",,
wfo-0000564222,पाखानवेद  (Pakhanved),पाखानवेद ,Pakhanved,,
wfo-0000564245,सिम्ताडी  (Simtadi),सिम्ताडी ,Simtadi,,
wfo-0000564246,लि–गा–दुर  (Li-ga-dur: Tibetan),लि–गा–दुर ,Li-ga-dur: Tibetan,,
wfo-0000603926,याकिमा  (Yakima: Tibetan),याकिमा ,Yakima: Tibetan,,
wfo-0000603986,याकिमा  (Yakima: Tibetan),याकिमा ,Yakima: Tibetan,,
wfo-0001136316,सुन–चु–तेग  (Sun-chu-teg: Tibetan),सुन–चु–तेग ,Sun-chu-teg: Tibetan,,
wfo-0001135728,सिस्ने झार  (Sisne jhar),सिस्ने झार ,Sisne jhar,,
wfo-0001299506,"अजम्मरी, हात्ती काने  (Ajammari, Hatti kane)","अजम्मरी, हात्ती काने ","Ajammari, Hatti kane",,
wfo-0000357656,अजम्मरी  (Ajammari),अजम्मरी ,Ajammari,,
wfo-0001316334,सोहलो–मार्पो  (Sohlo-marpo: Tibetan),सोहलो–मार्पो ,Sohlo-marpo: Tibetan,,
wfo-0000399351,सोहलो–मार्पो  (Sohlo-marpo: Tibetan),सोहलो–मार्पो ,Sohlo-marpo: Tibetan,,
wfo-0001300633,अम्बासीन  (Ambasin),अम्बासीन ,Ambasin,,
wfo-0000531497,"पुरेनी, कोराखोली  (Pureni, Korakholi)","पुरेनी, कोराखोली ","Pureni, Korakholi",,
wfo-0000531533,पुरेनी  (Pureni),पुरेनी ,Pureni,,
wfo-0000531579,अ‍ैरी लहरा  (Airi lahara),अ‍ैरी लहरा ,Airi lahara,,
wfo-0000531589,पुरेनी  (Pureni),पुरेनी ,Pureni,,
wfo-0001429016,"करौँज, करौँजा  (Karaunj, Karaunja)","करौँज, करौँजा ","Karaunj, Karaunja",,
wfo-0000605970,"जरिल लहरा, चारपाते  (Jaril lahara, Charpate)","जरिल लहरा, चारपाते ","Jaril lahara, Charpate",,
wfo-0000606224,जोगी लहरा  (Jogi lahara),जोगी लहरा ,Jogi lahara,,
wfo-0000606752,"पुरेनी, जोगे लहरो, चरचरे लहरो  (Pureni, Joge laharo, Charchare laharo)","पुरेनी, जोगे लहरो, चरचरे लहरो ","Pureni, Joge laharo, Charchare laharo",,
wfo-0001145448,"काक नसिका, काग चुच्चे  (Kak nasika, Kag chuchche)","काक नसिका, काग चुच्चे ","Kak nasika, Kag chuchche",,
wfo-0001145449,गलेनी  (Galeni),गलेनी ,Galeni,,
wfo-0001145518,कुकुर जिब्रे  (Kukur jibre),कुकुर जिब्रे ,Kukur jibre,,
wfo-0001145756,"गलेनी, बुलेभेत्रा  (Galeni, Bulebhetra)","गलेनी, बुलेभेत्रा ","Galeni, Bulebhetra",,
wfo-0001245969,"चरचरे, दार्मे लहरा  (Charchare, Darme lahara)","चरचरे, दार्मे लहरा ","Charchare, Darme lahara",,
wfo-0001146003,चरचरे लहरो  (Charchare laharo),चरचरे लहरो ,Charchare laharo,,
wfo-0001145443,चरचरे लहरो  (Charchare laharo),चरचरे लहरो ,Charchare laharo,,
wfo-0001145511,पानी लहरा  (Pani lahara),पानी लहरा ,Pani lahara,,
wfo-0001145753,"महुर, वन अङ्गुर  (Mahur, Ban angur)","महुर, वन अङ्गुर ","Mahur, Ban angur",,
wfo-0000457857,गोखुर  (Gokhur),गोखुर ,Gokhur,,
wfo-0000199888,गुँज्जा  (Gunjja),गुँज्जा ,Gunjja,,
wfo-0000178702,"रतिगेडी, आँखीगेडी  (Ratigedi, Ankhigedi)","रतिगेडी, आँखीगेडी ","Ratigedi, Ankhigedi",,
wfo-0000199890,"ढोँध्या, सक्ला  (Dhondhya, Sakla)","ढोँध्या, सक्ला ","Dhondhya, Sakla",,
wfo-0000173414,ताल खुकुरी  (Tal khukuri),ताल खुकुरी ,Tal khukuri,,
wfo-0000182103,कालो शिरीष  (Kalo sirish),कालो शिरीष ,Kalo sirish,,
wfo-0000204108,"पड्के शिरीष, रातो शिरीष  (Padke sirish, Rato sirish)","पड्के शिरीष, रातो शिरीष ","Padke sirish, Rato sirish",,
wfo-0000196922,रातो शिरीष  (Rato sirish),रातो शिरीष ,Rato sirish,,
