WFO-ID,Fl.Afr.centr.-ID,family,tribe/subfam.,genus,specificEpithet,infraspecificEpithet,scientificnameauthorship,taxonRank,taxon abbr. lookup,taxon abbr.,scientificnamelookup,scientificname,parentNameUsageID,typematerial,morphology,Classification,distribution,habitat,conservation,use,vernacular names,Notes/Observations,Key,Key as PDF,bibliographicCitation,other data,,,
wfo-7000000218,FAC001000000,Ericaceae,,,,,Juss.,family,,,Ericaceae,Ericaceae,,,"Arbres, arbustes parfois lianeux ou sous-arbrisseaux, souvent sempervirents. Feuilles alternes, opposées, ternées ou quaternées, non stipulées, simples, par- fois aciculaires (sous-famille Ericoideae), à nervation pennée ou non apparente. Inflorescences terminales ou axillaires, racémiformes, ombelliformes, corym- biformes ou parfois 1-flores. Fleurs hermaphrodites, actinomorphes ou lègère- ment zygomorphes (Rhododendron, non indigène), 4–5-mères ou plus rarement 3-mères ; calice à sépales sublibres ou soudés à la base, parfois subnuls ; co- rolle à pétales généralement soudés à la base ou sur presque toute leur longueur ou plus rarement libres ; androcée généralement en 2 ou plus rarement en 1 ver- ticille, filets généralement libre, anthères poricides et souvent munies de 2 appendices vers la base ; ovaire supère ou infère, généralement à 4–5 carpelles, placentation axile ; style simple, stigmate capité ou parfois pelté. Fruits : cap- sules ou baies. Graines petites, généralement nombreuses.",,"Famille des régions tempérées et tropicales, d’Afrique, d’Amérique, d’Asie et d’Europe. La famille compte plus de 100 genres et presque 4 000 espèces ; pour la Flore: 3 genres et 9 espèces. De plus, des espèces, des hybrides et des cultivars du genre Rhododendron L. y sont cultivés pour l’ornement.",,,,,,"1.	- Feuilles aciculaires, verticillées ; fleurs 3–4(–5)-mères ............. 1. Erica
-  Feuilles planes, alternes ou subopposées ; fleurs (4–)5-mères	2
2.  -  Ovaire supère ; fruit capsulaire .............................................. 2. Agarista
-  Ovaire infère ; fruit bacciforme .......................................... 3. Vaccinium",,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-4000013772,FAC001001000,Ericaceae,,Erica,,,L.,genus,,,Erica,Erica,FAC001000000,,"Arbres, arbustes ou sous-arbrisseaux. Feuilles 3–6-verticillées ou subverticil- lées, aciculaires, subcharnues. Inflorescences axillaires, en fascicules, racèmes ou corymbes ; pédicelles généralement courts, souvent munis de 1–3 bractéoles foliacées ou sépaloïdes et carénées. Fleurs : sépales 3–5, sublibres ou soudés ; pétales 3–5, soudés, lobes généralement plus courts que le tube ; étamines 6–10, filets libres, anthères souvent ornées d’une paire d’appendices basaux ; ovaire supère, 3–5-loculaire ; style inclus ou exsert, stigmate capité ou pelté. Fruits capsulaires.",,"Genre d’Europe, d’Asie et d’Afrique avec la plus grande diversité en Afrique méridionale, comprenant environ 850 espèces. Pour la Flore : 7 espèces.",,,,,,"1.	-  Feuilles quaternées à subquaternées, disposées sur 4 rangs	2
-	Feuilles ternées à subternées, disposées sur 6 rangs	3
2.	- Rameaux jeunes couverts de cils simples, courts et/ou allongés entremê- lés de longs cils glanduleux d’abondance variable ; feuille à limbe cilié- glanduleux, glabrescent, parfois terminé par une glande sessile à stipitée ; bractéoles 0 ; calice à lobes largement subtriangulaires, égalant environ la corolle ; étamines aux appendices nuls ; style courtement exsert, à stig- mate pelté, de 1–2 mm de diamètre ........................... 1. E. benguelensis
-	Rameaux jeunes couverts de cils simples, courts ou allongés mais jamais accompagnées de longs cils glanduleux ; feuille à limbe cilié-denticulé, jamais glanduleux mais souvent terminé par un long poil simple ; brac- téoles 2, vers le sommet du pédicelle ; calice à lobes étroitement subellip- tiques, atteignant environ la moitié de la corolle ; étamines à appendices linéaires ; style nettement exsert, à stigmate capité, d’environ 0,2 mm de diamètre ........................................................................ 2. E. robynsiana
3.	-  Anthères aux appendices basaux absents ; stigmate pelté	4
-	Anthères aux appendices basaux présents ; stigmate capité	5
4.	- Rameaux jeunes couverts de cils simples et glanduleux mais jamais de cils denticulés ou branchus ; limbe 2–4 fois plus longue que le pétiole ; sépales atteignant ½ à ¾ du tube corollin ; ovaire glabre ... 3. E. trimera
 

-	Rameaux jeunes couverts de cils simples, denticulés, branchus et par- fois glanduleux ; limbe généralement 5–10 fois plus longue que le pé- tiole ; sépales atteignant le sommet du tube corollin ; ovaire pubérulent, glabrescent ........................................................................... 4. E. mannii
5.	- Rameaux jeunes couverts de longs cils branchus entremêlés avec d’autres types de cils ; limbe aux cils branchus longuement divisés, souvent plus longs que la largeur foliaire, souvent di- ou trichotomiques au sommet et avec généralement un long cil apical divisé ou glanduleux ; corolle à tube rétréci vers le milieu et se déchirant lors de la maturation du fruit ...........
............................................................................................. 5. E. silvatica
-	Rameaux jeunes peu ou pas couverts de longs cils branchus ; limbe aux cils branchus peu ou courtement divisés, rarement aussi longs que la lar- geur foliaire, rarement di- ou trichotomiques au sommet et jamais avec un long cil apical ; corolle à tube non rétréci vers le milieu et ne se déchirant pas lors de la maturation du fruit	6
6.	- Rameaux jeunes couverts de cils simples et branchus en densité variable ; pétiole couvert de cils simples et branchus, limbe 8–15 fois plus longue que le pétiole ; sépales ne dépassant généralement pas la ½ du tube corol- lin ; corolles urcéolées ........................................................ 6. E. arborea
-	Rameaux jeunes couverts de courts cils simples ou denticulés ; pétiole couvert de cils simples, limbe 1,5–5 fois plus longue que le pétiole ; sé- pales atteignant la ½ à égalant le tube corollin ; corolles cylindrico-urcéo- lées ................................................................................. 7. E. kingaensis
",,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000671493,FAC001001001,Ericaceae,,Erica,benguelensis ,,(Welw. ex Engl.) E.G.H.Oliv.,species,,,Erica benguelensis,Erica benguelensis,FAC001001000,"Angola, Morro de Lopollo, Welwitsch 2560 (holo- : B† ; iso- : BM, G, K).","Arbuste ou petit arbre, jusqu’à 15 m de haut ; rameaux jeunes couvert de cils simples, courts et allongés, entremêlés de longs cils glanduleux, rameaux âgés glabrescents. Feuilles quaternées à subquaternées, sur 4 rangs ; pétiole environ 0,5 mm, ciliolé-glanduleux, glabrescent ; limbe elliptique à étroitement elliptique, plus rarement oblong, 1,5–4,5 × 0,5–1 mm, à face externe ciliolée- glanduleuse à subglabre, glabrescente, aux bords variablement munis de cils simples ou glanduleux, au sommet parfois terminé par une glande sessile à stipitée. Inflorescence pauciflore. Fleur : pédicelle 1–2 mm, pubescent à ciliolé, sans bractéoles ; calice à 4(–5) lobes largement subtriangulaires, 1–2 × 1,5–2,5 mm, cuspidés, dont l’un au sommet plus allongé que les autres et dépassant le tube corollin, ciliolés-fimbriés ; corolle cupuliforme, de 1–2 mm de long, blanche, jaunâtre, rose, rousse, brunâtre, rouge ou violacée, à tube environ 2 fois plus long que les 4(–5) lobes subobovales, subarrondis, pubescents-glabres- cents ; étamines 8(–10), filet < 1 mm de long, anthère < 1 mm de long, aux appendices basaux nuls ; ovaire globuleux, de 1–1,5 mm de long, pubescent ; style courtement exsert, stigmate pelté, de 1–2 mm de diamètre.",,"En Afrique centrale, rare au sud-ouest, plus commun à l’est (Kivu, Rwanda, Burundi) et en Katanga ; hors d’Afrique centrale, présent en Ouganda, Kenya, Tanzanie, Angola, Zambie, Malawi, Zimbabwe et Mozambique.","Forêts claires ou de montagne, fourrés à bruyères, savanes, jachères ; vers 800 m d’altitude au Bas-Congo et Kasai, entre 1400 et 1800 m au Haut-Katanga et entre 1500 et 3000 m au Kivu, Rwanda et Burundi. Espèce caractéristique de l’association Philippeto-Uapacetum robynsii Schmitz (1963) au Haut-Katanga.",,,"Igihungeri, Ikinyabushishi, Umunyabushishi (dial. kinyarwanda) ; Kambelembele (dial. kibemba) ; Kashasha (dial. mashi) ; Kihungiri (dial. kihavu) ; Kisusuti (dial. kinande) ; Matiti, Mopipi (dial. kinyarwanda) ; Mushushuti (dial. kihunde) ; Mwedimuna (dial. kiluba) ; Sunu (dial. kitabwa).","1. Espèce très variable quant à l’indument ; on voit sur la même plante des tiges presque sans glandes et d’autres à nombreuses glandes, de même que pour les feuilles. C’est pourquoi la var. albescens paraît superflue. – 2. Les anthères paraissent dépourvues d’appen- dices basaux mais on n’observe pas facilement de fleurs épanouies en herbier. Il apparaît que celles-ci murissent lors de leur dessication et les nombreux spécimens examinés ne montrent dès lors que des fruits. – 3. Ce taxon peut être confondu avec Erica silvatica (Welw. ex Engl.) Beentje mais en principe celui-ci a des feuilles ternées et d’autre part le stigmate de ses fleurs est capité. – 4. Erica lanceolifera S.Moore, présent au Zimbabwe, est très semblable mais a des cils branchus.",,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000673131,FAC001001002,Ericaceae,,Erica,robynsiana ,,Spirlet,species,,,Erica robynsiana,Erica robynsiana,FAC001001000,"Rép. Dém. Congo, Itombwe, Marlier s.n. (holo- : BR 889220).","Sous-arbrisseau jusqu’à 50 cm de haut ; rameaux jeunes couverts de cils simples courts ou allongés ; rameaux âgés glabrescents. Feuilles quaternées à subquaternées, disposées sur 4 rangs ; pétiole environ 0,5 mm, cilié ; limbe oblong, 2–5,5 mm de long et jusqu’à 0,5 mm de large, face externe pubérulente, bords densément ciliés, sommet souvent terminé par un long cil non glanduleux. Inflorescence pauciflore. Fleur : pédicelle d’environ 0,5 mm, cilié, vers le sommet munis de 2 bractéoles oblongues, non foliacées et aux bords ciliés ; calice à 4 lobes étroitement subelliptiques, apiculés-subacuminés, environ 1,5–2 × 1 mm, environ moitié plus courts que la corolle, ciliés surtout aux bords ; corolle de 2,5–3,5 mm de long, blanche, tube environ 2 fois plus long que les 4 lobes largement ovales, arrondis, glabres ; étamines 8, incluses à faiblement exsertes, filet d’environ 1 mm, anthère < 1 mm de long, aux appendices basaux linéaires, subentiers, d’environ 0,5 mm de long ; ovaire cilié ; style nettement exsert, 2,5–3 mm, stigmate capité, d’environ 0,2 mm de diamètre",,rare et endémique à l’est de la Rép. Dém. Congo.,Fourrés marécageux ; vers 2800 m d’altitude.,,,,,,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000673455,FAC001001003,Ericaceae,,Erica,trimera ,,(Engl.) Beentje,species,,,Erica trimera,Erica trimera,FAC001001000,"Rép. Dém. Congo, mont Ruwenzori, Stuhlmann 2445 (holo- : B†).","Arbuste ou petit arbre jusqu’à 12 m de haut ; rameaux jeunes couverts de cils simples et glanduleux, rameaux âgés glabrescents. Feuilles subternées, dispo- sées sur 6 rangs ; pétiole 0,5–2 mm, glabre ou subglabre ; limbe oblong, 3–7(–10) × 0,5–1,5 mm, face externe pubérulente ou subglabre, bords ciliolés-glan- duleux, glabrescents, sommet obtus ou arrondi. Inflorescence pauciflore. Fleur : pédicelle 1,5–5,5 mm, glabre ou subglabre, munis, le plus souvent vers le som- met, d’une bractéole oblongue, foliacée ou subfoliacée ; sépales généralement 3, ovales ou triangulaires, 0,8–1,5 de long et jusqu’à 1 mm de large, atteignant la ½ aux ¾ du tube corollin, bords ciliolés ou légèrement fimbriés ; corolle large- ment campanulée, de 2–3 mm de long, rouge, rose ou blanche, tube environ 4 foix plus long que les 4 lobes arrondis ; étamines 6(–8), incluses, filet jusqu’à 1 mm, anthère d’environ 1 mm de long, glabre, à appendices basaux nuls ; ovaire subglobuleux, lobulé, d’environ 1 mm de long, glabre ; style exsert, 1–2,5 mm, stigmate pelté, circulaire à sublobé, jusqu’à près de 2 mm de diamètre.",,"En Afrique centrale, assez rare à l’est de la Rép. Dém. Congo, rare au Sud (Katanga) ; hors d’Afrique centrale, présent en Éthiopie, Ouganda, Kenya et Tanzanie.",Étages subalpin et alpin du mont Ruwenzori occidental ; à 3000–4200 m d’altitude.,,,,"1. Espèce apparemment endémique de certaines montagnes. D’après Beentje (2006) et Dorr (2006), il y aurait 6 sous-espèces géographiquement distinctes en Afrique orien- tale, à savoir, Éthiopie, Ruwenzori, Elgon, Kenya, Meru et Kilimanjaro, mais les différences paraissent fort ténues. Seule la subsp. trimera serait alors présente dans la dition. La distribu- tion citée en dehors de la dition ne tient pas compte des sous-espèces éventuelles. – 2. Toute- fois, cette espèce est aussi très proche d’E. mannii (Hook.f.) Beentje dont elle pourrait n’être qu’une variante. E. trimera est totalement dépourvu de cils branchus tandis qu’E. mannii en possède mais parfois très peu.",,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000672564,FAC001001004,Ericaceae,,Erica,mannii ,,(Hook.f.) Beentje,species,,,Erica mannii,Erica mannii,FAC001001000,"Bioko, Clarence Peak, Mann s.n. (holo- : K).","Arbuste ou arbre jusqu’à 15 m de haut ; rameaux jeunes couverts de cils simples, denticulés, bifides, branchus et parfois glanduleux, rameaux âgés glabrescents. Feuilles ternées, disposées sur 6 rangs ; pétiole 0,5–1 mm, glabre ou subglabre ; limbe oblong à étroitement ovale, 2–6 × 0,5–1,5 mm, face externe glabre ou éparsément ciliolé, bords munis de cils simples et/ou denticulés-glan- duleux, glabrescents, sommet souvent terminé par une touffe de minuscules cils simples. Inflorescence pauciflore. Fleur : pédicelle 1,5–5,5 mm, pubérulent à glabrescent, muni au sommet d’une bractéole oblongue-triangulaire, non folia- cée à subfoliacée, de 1–1,5 mm de long, aux bords denticulés-glanduleux ; calice à 3 sépales subtriangulaires, de 0,5–1 mm de long, atteignant la longueur du tube corollin, ciliolés à glabrescents ; corolle campanulée, de 1,5–2 mm de long, rougeâtre, brunâtre, rosâtre ou blanchâtre, tube environ 3 fois plus long que les 4 lobes arrondis ou échancrés, bords ciliolés ou denticulés ; étamines généralement 6, incluses ou faiblement exsertes, filet < 1 mm, anthère d’environ 1 mm de long, glabre, aux appendices basaux nuls ; ovaire ellisoïpdal à obovoïde, d’environ 1 mm de long, pubérulent, glabrescent ; style nettement exsert, 0,5–2 mm, stigmate pelté, circulaire ou légèrement lobé, de 0,5–1,5 mm de diamètre.",,"En Afrique centrale, assez rare à l’est de la Rép. Dém. Congo et au Rwanda  et Burundi ; hors d’Afrique centrale, présent au Nigeria, Bioko, Cameroun, Ouganda, Kenya, Tanzanie, Angola, Zambie, Malawi, Zimbabwe et Mozambique.","Forêts-galeries, savanes arborescentes, crêtes rocheuses ; à 1000–3600 m d’altitude. Espèce caractéristique de la sous-association Brachystegieto-Monotetum katangense Philippie- tosum Schmitz (1963) au Haut-Katanga.",,,"Igihungeri, Ikinyabushishi, Umushisishisi (dial. kinyarwanda) ; Kashasha (dial. mashi) ; Matiti, Mushishi (dial. kinyarwanda) ; Mshishi, Msisi (dial. kibatwa).","Espèce à indument très variable ; on peut trouver des spécimens dont certains rameaux portent essentiellement des cils branchus allongés ou très courts et d’autres rameaux à cils essentiellement simples ou finement denticulés. Certains exemplaires sont parfois qua- siment dépourvus de cils branchus, surtout sur les rameaux glabrescents. Des études de popu- lations et de génétique moléculaire paraissent indispensables pour mieux en comprendre la taxonomie.",,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000673256,FAC001001005,Ericaceae,,Erica,silvatica ,,(Welw. ex Engl.) Beentje,species,,,Erica silvatica,Erica silvatica,FAC001001000,"Tanzanie, mont Kilimanjaro, Marangu – Machame, Meyer 343 (holo- : B† ; iso- : UPS).","Sous-arbrisseau ou parfois arbrisseau de 7–40(–100) cm de haut ; rameaux jeunes couverts de longs cils branchus entremêlés de cils simples ou bifides ainsi que de cils glanduleux (les trois types de densité très variable et parfois l’un des types presque manquant), rameaux âgés glabrescents. Feuilles subternées, disposées sur 6 rangs ; pétiole < 0,5 mm, généralement pubérulent ; limbe oblong, 3–6 × 0,5–1 mm, surface externe et bords pourvus de cils branchus et longuement divisés, souvent plus longs que la largeur foliaire, souvent di- ou trichotomiques au sommet, ainsi que d’autres cils denticulés, simples, bifides, glanduleux ou de glandes sessiles (parfois l’un des types dominant ou presque absent), sommet arrondi mais terminé généralement par un long cil divisé ou glanduleux. Inflorescence pauciflore. Fleur : pédicelle subnul ou moins de 2 mm, sans bractéoles ou aux bractéoles minuscules ; calice à 4 sépales étroitement ovales à linéaires, de 0,5–2 mm de long et jusqu’à 0,5 mm de large, égalant le tube corollin, face dorsale et bords pourvus de cils simples ou multifides, sommet terminé par un long cil ; corolle cylindrico-infundifuliforme, d’environ 2–5 mm de long, blanche, rose, rougeâtre ou violacée, à tube faiblement rétréci vers le milieu et se déchirant lors de la maturation des fruits, 2,5–4 fois plus long que les 4 lobes subtriangulaires, caducs lors de la maturation des fruits ; étamines 4(–5), incluses, filet jusqu’à 2,5 mm, anthère < 1 mm de long, aux appendices basaux linéaires, fimbriés-denticulés à subentiers, jusqu’à 0,5 mm ; ovaire globuleux à légèrement 4-lobé, pubérulent ; style exsert, jusqu’à 5 mm, stigmate capité, d’environ 0,5 mm de diamètre.",,"En Afrique centrale, assez rare à l’est de la Rép. Dém. Congo et au Rwanda et Burundi ; hors d’Afrique centrale, présent au Cameroun, Soudan, Éthiopie, Uganda, Tanzanie, Zambie, Zimbabwe et Malawi.","Forêts, savanes arbustives ; à 2000–3600 m d’altitude.",,,Ikinabushishi (dial. kinyarwanda) ; Kashasha (dial. mashi).,"1. Beentje (2006) signale que les feuilles seraient rarement disposées par 4, ce qui est un caractère d’E. benguelensis avec lequel il peut être confondu. E. silvatica diffère aussi de cette espèce par ses stigmates capités. – 2. La disparition du genre Blaeria a entrainé de nombreuses synonymies mises au point par Beentje entre des espèces décrites dans l’est et dans l’ouest de l’Afrique. Deux noms prioritaires décrits en même temps restaient valables pour la combinaison ; cet auteur a choisi B. silvatica au détriment de B. johnstonii (Beentje 2006). – 3. Letouzey (1970) a essayé de distinguer des variétés sur base des types de cils dominants sur les rameaux mais il y a trop d’intermédiaires pour que ces distinctions puissent être retenues.",,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000671391,FAC001001006,Ericaceae,,Erica,arborea ,,L.,species,,,Erica arborea,Erica arborea,FAC001001000,"France, Montpellier, Burser 25/42 (lecto- : UPS, designé par Jarvis & McClintock 1990 : 518).","Arbuste ou arbrisseau jusqu’à 8 m de haut ; rameaux jeunes couverts de courts cils simples et de longs cils branchus, rameaux âgés glabrescents. Feuilles ternées à subternées, disposées sur 6 rangs ; pétiole jusqu’à 0,5 mm, couvert de poils branchus peu ou courtement divisés, glabrescent ; limbe oblong ou plus rarement étroitement elliptique, 3–8 × 0,5–1,5 mm, face externe ciliolée-glabrescente, bords pourvus de cils branchus ou denticulés, rarement aussi longs que la largeur foliaire, rarement di- ou trichotomiques, sommet obtus et sans cil apical. Inflorescence pauciflore. Fleur : pédicelle 1,5–4 mm, glabre ou subglabre, à la base munis de 2–3 bractéoles oblongues, non foliacées, aux bords ciliolés ; calice à 4 sépales ovales-subtriangulaires, ne dépassant généralement pas la  moi- tié du tube corollin, ciliolés-glabrescents ; corolle urcéolée, 2–3 mm de long, blanche, rosâtre ou rose, ciliolée-glabrescente ou glabre, tube environ 3 fois plus long que les 4 lobes ovales ; étamines 8, incluses, filet 1–1,5 mm, anthère 0,5-1 mm de long, aux appendices basaux étroitement ovales-acuminés et denti- culés, d’environ 0,5 mm de long ; ovaire globuleux, lobulé, d’environ 1 mm   de diamètre, glabre ; style progressivement exsert, 0,5–2 mm, stigmate capité, jusqu’à 0,5 mm de diamètre.",,"En Afrique centrale, assez rare à l’est de la Rép. Dém. Congo (Kivu) et au Rwanda ; hors d’Afrique centrale, présent au Tchad, Éthiopie, Somalie, Ouganda, Kenya, Tanzanie, Afrique du Nord, Europe du Sud et sud de la péninsule d’Arabie.","Recrû forestier, fourrés à bruyères, rochers et cendrées volcaniques ; à 2280–4000 m d’altitude.",,,,,,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-0000672378,FAC001001007,Ericaceae,,Erica,kingaensis ,,Engl.,species,,,Erica kingaensis,Erica kingaensis,FAC001001000,"Tanzanie, mont Djilulu, Goetze 920 (syn- : B, BR, K) ; Tanzanie, Rungwe Peak, Goetze 1150 (syn- : B, BM, BR ; fragm. BRLU).","Arbrisseau jusqu’ à 5 m de haut ; rameaux jeunes densément couverts de courts cils simples ou denticulés, rameaux âgés glabrescents. Feuilles ternées à subternées, disposées sur 6 rangs ; pétiole 1–1,5 mm, couvert de cils simples, glabrescent ; limbe oblong à étroitement elliptique, 1,5–5 mm de long et jusqu’à 1,5 mm de large, face externe subglabre, bords munis de cils épais, effilés-denticulés, glabrescents, sommet obtus. Inflorescence pauciflore. Fleur : pédicelle 1–5 mm, pubérulent, aux cils simples ou denticulés, glabrescent, munis au milieu de 1–3 bractéoles oblongues, aiguës ou acuminées, aux bords munis de cils denticulés ; calice à 4 sépales étroitement ovales à étroitement triangulaires, aigus ou acuminés, atteignant la moitié du tube corollin à l’égalant, bords ciliés-denticulés ou subglabres ; corolle cylindrique-urcéolée, 3–5 mm de long, pourpre, rose ou blanche, tube environ 3 fois plus long que les 4 lobes subtriangulaires à ovales, arrondis, ciliés-denticulés ; étamines 8, incluses, filet 1,5–2,5 mm, anthère de moins de 1–2 mm de long, aux appendices basaux étroitement subtriangulaires-acuminés ou linéaires, entiers à denticulés et de 0,5–1 mm de long ; ovaire subglobuleux à lobulé, pubérulent à glabrescent, de 1,5–2 mm de long ; style progressivement exsert, 1,5–4,5 mm, stigmate capité, d’environ 0,2 mm de diamètre.",,"En Afrique centrale, assez commun à l’est de la Rép. Dém. Congo (Kivu) et au Rwanda et Burundi ; hors d’Afrique centrale, présent en Ouganda et Tanzanie.","Forêts de montagne, savanes et landes rocailleuses, marais arbustifs ; à 1600–3700 m d’altitude.",,,"Hokira (dial. kinyanga) ; Ibishashara (dial. kirundi) ; Igihungeri, Ikinabushishi (dial. kinyarwanda) ; Kashasha (dial. mashi) ; Kisusute (dial. kinande).","– 1. Diverses sous-espèces sont parfois considérées sur base de caractères très ténus. Elles ne sont pas reconnues ici. – 2. À l’exception de la subsp. multiflora Spirlet, les holotypes des taxons décrits par Marlier-Spirlet (1957) n’ont pas été retrouvés ; la synonymie est établie d’après les autres échantillons cités dans la publication.",,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
wfo-4000000898,FAC001002000,Ericaceae,,Agarista,,,G.Don,genus,,,Agarista,Agarista,FAC001000000,,"Arbres, arbustes ou arbrisseaux. Feuilles alternes ou subopposées. Inflorescences axillaires ou terminales, en racèmes ou parfois en panicules, à bractées caduques. Fleurs 5-mères ; pédicelle généralement à 2 bractéoles ; calice articulé sur le pédicelle, persistant, aux lobes imbriqués ; corolle cylindrique à urcéolée ; étamines 10, en 2 verticilles, insérées à la base de la corole, anthère elliptique, avec des pores terminaux et sans appendices ; ovaire supère, 5-loculaire, disque nectarifère ; stigmate tronqué ou capité. Fruits capsulaires, à déhiscence irrégulière.",,"Genre essentiellement d’Amérique du Sud, comprenant 31 espèces dont une seule en Afrique. Ce genre appartient à la sous-famille des Arbutoideae. L’ancien genre unispécifique africain Agauria a été mis en synonymie du genre américain Agarista tout en restant dans une section distincte, section Agauria (DC.) Judd.",,,,,,,,"Geerinck D. (2014). Ericaceae. In: Sosef M.S.M. (éd.) Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta. Meise, Jardin botanique de Meise.",,,,
