"taxonID","use"
"taxon-1-Cyrilla_racemiflora","Uses: Planted as an ornamental in the USA. In the West Indies, the species is esteemed among honey producers due to its nectar-rich flowers, which are present over an extended period of time (Ståhl, 2004)."
"taxon-3-Buchenavia_grandis","Use: Wood yellowish-brown, frequently used for construction."
"taxon-8-Buchenavia_ochroprumna","Use: Wood for construction, boards."
"taxon-10-Buchenavia_parvifolia","Uses: Timber used for building houses; firewood."
"taxon-12-Buchenavia_tetraphylla","Use: Locally used for timber; “wood is yellow and durable, with close smooth grain”."
"taxon-13-Buchenavia_viridiflora","Use: Wood yellow, very hard, used for construction."
"taxon-1-Terminalia_amazonia","Use: An important timber known as Nargusta or Roble Coral in the international trade."
"taxon-2-Terminalia_catappa","Uses: Widely grown as an ornamental and for shade. The fruits have a spongy mesocarp and are well adapted for water dispersal. The kernels (seeds) are eaten like almonds."
"taxon-3-Terminalia_dichotoma","Use: A hard timber used locally for house construction."
"taxon-4-Terminalia_guyanensis","Use: Timber said to be very hard."
"taxon-1-Hydrocleys_nymphoides","Economic use: Cultivated as an aquarium plant or in aquatic rock gardens."
"taxon-1-Echinodorus_bolivianus","Economic use: Sold as aquarium plants under German commercial name ""Hahnenfussähnlicher Igelschlauch"" and ""Hahnenfuss Froschlöffel"", and English ""Dwarf Amazon Swordplant""."
"taxon-2-Echinodorus_grisebachii","Economic use: Sold under German commercial name ""Smalblättrige Amazonas Schwertpflanze"" (""Small Leaved Amazon Swordplant.""); also cultivated under names ""Amazonian Swordplant"", or 'E. rangeri', 'E. amphibius', 'E. gracilis', 'E. parviflorus', 'E. bleheri' and 'E. parviflorus tropica'."
"taxon-3-Echinodorus_horizontalis","Economic use: Sold under German commercial name ""Horizontale Amazonpflanze"" (""Horizontal Amazon plant"")."
"taxon-5-Echinodorus_paniculatus","Economic use: Sold as aquarium plants under the German commercial name ""Grosse Amazonas Schwertpflanze"" (""Large Amazon Swordplant"")."
"taxon-7a-subalatus","Economic use: Sold as aquarium plants under German commercial name ""Langgriffliger Froschlöffel"" (""Longstyled Toadspoon""); also sold under name E. 'inpai'."
"taxon-8-Echinodorus_tenellus","Economic use: Sold as an aquarium plant under German commercial names of ""Zartblättriger Froschlöffel"" and ""Kleinblättriger Froschlöffel"", and English names ""Pigmy chain-sword"" and ""Dwarf Amazonian Swordplant""."
"taxon-Sagittaria_lancifolia","Economic use: Sold as aquarium plants under the German commercial name ""Lanzettblättriges Pfeilkraut"" (""Lance-leaved Arrowhead"")."
