taxonID,vernacularName,identifier,,,,,,,,,,,,,,,,,
wfo-0000268927,Azota-cabeza Chalde,057c743f-a31d-4296-b0a9-4057884ff72b,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000269101,Bejuco Deshinchador,7c60fbd1-43e7-4934-ae96-3274d4ae09b1,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000268671,Cinchadora,f6e3792e-b09b-44c4-87bc-97bf95c33cba,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000586340,Spanish Moss,da960c60-3fef-4c28-a994-6449b277f5e8,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000341882,Piro,d5dbe184-8f34-4894-842e-aaf513ecd943,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000337762,Pita Pinuela,6b4b5cda-c837-4837-8ccc-e5324291498e,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000339432,Pifia Pine,7a84e038-5f63-48d6-a014-555380252574,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000339432,Pineapple,a604b0e9-a554-4115-96a8-9be20ff57cd5,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000358770,Codillo,bfa2fd32-15fb-4cc6-b32e-e95a58693d55,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000343653,Conyotura Cafa de Cristo,2cd629e6-1a5d-41df-bb5a-20814949d95a,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000343653,Cafiutillo,ec4174c1-a172-42e2-ae1e-40660dce9306,,,,,,,,,,,,,,2012-10-31,Bob Magill,,2012-10-31
wfo-0000615515,Wandering Jew Hoja de milagro,78bed89e-0a22-4844-914b-4b2412f37c2a,,,,,,,,,,,,,,2012-11-01,Bob Magill,,2012-11-01
wfo-0000615515,Cafiutillo,8abb503d-6015-450e-927e-0ab18c1546dd,,,,,,,,,,,,,,2012-11-01,Bob Magill,,2012-11-01
wfo-0000500933,Pickerel-weed,7ed35079-c088-45f5-b95f-0e32183d92a1,,,,,,,,,,,,,,2012-11-01,Bob Magill,,2012-11-01
wfo-0000465160,Aguacate Avocado,a9fa2b0e-bf7c-4f30-ae91-8c2c2ffda070,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000465160,Alligator Pear,c7451479-d515-4a97-beca-f87c21a6f362,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000465851,Guatemala Avocado,65a01204-4054-4363-b8de-5a1c27884feb,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000465836,Timber Sweetwood Pizarrad,2157bac5-79a0-48a0-97c2-247af91f9ddc,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0001070879,Sweetwood Yaya,2213ce18-f88e-4fdd-acb4-7e9ef5f1dd6e,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0001070885,Sigua amarilla,a9263d3e-8b7b-4abb-b076-d507b34f49c0,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0001070594,Aguacaton,04a6a78b-4725-411c-93a9-bca041101f43,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0001070890,Sigi,010c1251-841f-46bc-a0ea-bce47a29e70d,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000382985,Quizarra,b762db14-015d-4244-b206-b2d81fe16938,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000382934,Sigua Canela,d053ef1e-c6dd-4ca4-8529-f46e157d988a,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000383076,Sigua Sigma amarillo,204833cb-4575-4601-b52b-f2d18d4944cd,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000379197,Sweetwood Sigua,6c5622ab-3bf0-4e59-946f-4af6808aed87,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000381683,Signa blanca,7d186e52-1680-4634-93ff-b0da27c02738,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000379202,Rock Sweet- wood,01f8ac54-9850-4200-93f5-878f3e6491a2,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000381654,Sigua,80588122-15e2-422f-a26b-2ee0e9c1d892,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
wfo-0000381703,Bambito,e75f1cd1-47cc-45dc-bcca-2317bc76d2eb,,,,,,,,,,,,,,2012-11-12,Bob Magill,,2012-11-12
