WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn,rights,license,bibliographicCitation,compiler
wfo-1000041347,गुफला  (Gufala),गुफला ,Gufala,Stauntonia angustifolia (Wall.) Christenh.,Bot. Mag. 29(3): 264. 2012.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200027057,"गुफला, मलकाटी  (Gufala, Malkati)","गुफला, मलकाटी ","Gufala, Malkati",Stauntonia latifolia (Wall.) Christenh.,Bot. Mag. 29(3): 269. 2012.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000605874,"चिल्लो बाटुल्पाते, गुदर गानो  (Chillo batulpate, Gudar gano)","चिल्लो बाटुल्पाते, गुदर गानो ","Chillo batulpate, Gudar gano",Cissampelos pareira L., Sp. Pl. : 1031. 1753.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1000047280,त्ष्उिजयचब (ltnkmf]/f ),त्ष्उिजयचब,ltnkmf]/f ,Pachygone laurifolia (DC.) L.Lian & Wei Wang,Molec. Phylogen. Evol. 148(106825): 7. 2020.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001228232,"दुधे लहरा, पिपल पाते  (Dudhe lahara, Pipal pate)","दुधे लहरा, पिपल पाते ","Dudhe lahara, Pipal pate",Pericampylus glaucus (Lam.) Merr.,Interpr. Herb. Amb. 219. 1917.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001083815,"तारो लहरा, बाटुल्पाते  (Taro lahara, Batulpate)","तारो लहरा, बाटुल्पाते ","Taro lahara, Batulpate",Stephania elegans Hook.f. & Thomson,Fl. Ind. 1: 195. 1855. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000505181,"गुदर गानो, बाटुल्पाते  (Gudar gano, Batulpate)","गुदर गानो, बाटुल्पाते ","Gudar gano, Batulpate",Stephania glandulifera Miers,"Ann. Mag. Nat. Hist. ser. 3, 18(103): 15. 1866.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001285570,"पाठा, बाटुल्पाते  (Patha, Batulpate)","पाठा, बाटुल्पाते ","Patha, Batulpate",Stephania japonica (Thunb.) Miers,"Ann. Mag. Nat. Hist. ser. 3, 18(103): 14. 1866.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000505063,"निम लहरा, बर्कुली लहरा  (Nim lahara, Barkuli lahara)","निम लहरा, बर्कुली लहरा ","Nim lahara, Barkuli lahara",Stephania rotunda Lour.,Fl. Cochinch. 2: 608. 1790.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001083819,रुख काने  (Rukh kane),रुख काने ,Rukh kane,Tiliacora acuminata (Lam.) Miers,"Ann. Mag. Nat. Hist. ser. 2, 7(37): 39. 1851.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001083821,गुर्जो लहरा  (u'hf]{ nx/f ),गुर्जो लहरा ,u'hf]{ nx/f ,Tinospora cordifolia (Willd.) Miers ex Hook.f. & Thomson,Fl. Ind. 1: 184. 1855. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001083980,गुर्जो लहरा  (Gurjo lahara),गुर्जो लहरा ,Gurjo lahara,Tinospora sinensis (Lour.) Merr.,Sunyatsenia 1: 193. 1934.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000562768,चुत्रे काँडा  (Chutre kanda),चुत्रे काँडा ,Chutre kanda,Berberis angulosa Wall. ex Hook.f. & Thomson,Fl. Ind. 1: 227. 1855. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000562794,"बाह्रमासे चुत्रो, क्येर्वा  (Barhamase chutro, Kyerwa: Tibetan)","बाह्रमासे चुत्रो, क्येर्वा ","Barhamase chutro, Kyerwa: Tibetan",Berberis aristata DC.,Syst. Nat. 2: 8. 1821. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000562803,"चुत्रो, रसाजन  (Chutro, Rasajan)","चुत्रो, रसाजन ","Chutro, Rasajan",Berberis asiatica Roxb. ex DC.,Syst. Nat. 2: 13. 1821.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200027097,"चुत्रो, पुचु  (Chutro, Puchu)","चुत्रो, पुचु ","Chutro, Puchu",Berberis concinna Hook.f. ,Bot. Mag. 79: t. 4744. 1853.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000563126,कनिके चुत्रो  (Kanike chutro),कनिके चुत्रो ,Kanike chutro,Berberis everestiana var. ventosa Ahrendt,"J. Linn. Soc., Bot. 57: 117. 1961.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000563246,चुत्रो  (Chutro),चुत्रो ,Chutro,Berberis hamiltoniana Ahrendt,Gard. Illustr. 64: 426. 1944.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000563408,चुत्रो  (Chutro),चुत्रो ,Chutro,Berberis kumaonensis C.K.Schneid.,"Bull. Herb. Boissier, sér. 2, 5: 397. 1905. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000563563,चुत्रो  (Chutro),चुत्रो ,Chutro,Berberis mucrifolia Ahrendt,J. Roy. Hort. Soc. 81: 135. 1956.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000563923,चुत्रो  (Chutro),चुत्रो ,Chutro,Berberis thomsoniana C.K.Schneid.,"Bull. Herb. Boissier, sér. 2, 5: 454. 1905.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000564056,बाह्रमासे चुत्रो  (Barhamase chutro),बाह्रमासे चुत्रो ,Barhamase chutro,Berberis wallichiana DC.,Prodr. 1: 107. 1824. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001257901,जमाने मान्द्रो  (Jamane mandro),जमाने मान्द्रो ,Jamane mandro,Mahonia napaulensis DC.,Syst. Nat. 2: 21. 1821. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000397412,लघु पत्र  (Laghu patra),लघु पत्र ,Laghu patra,Podophyllum hexandrum Royle,Ill. Bot. Himal. Mts. 64. 1834.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517192,"मधु बिख, बिख, पोँगर  (Madhu bikh, Bikh, Pongar: Sherpa)","मधु बिख, बिख, पोँगर ","Madhu bikh, Bikh, Pongar: Sherpa",Aconitum dissectum D.Don,Prodr. Fl. Nepal. 197. 1825. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517242,"सेतो बिख, निलो बिख  (Seto bikh, Nilo bikh)","सेतो बिख, निलो बिख ","Seto bikh, Nilo bikh",Aconitum ferox Wall. ex Ser.,"Mus. Helv. 1: 160, t. 15. 1823.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517372,"अतिस, बिख, कालो बिख, मुडुलो  ()","अतिस, बिख, कालो बिख, मुडुलो ",,Aconitum heterophylloides Stapf,Ann. Roy. Bot. Gard. (Calcutta) 10: 171. 1905.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1000035738,अतिस  (Atis),अतिस ,Atis,Aconitum heterophyllum Wall. ex Royle,Ill. Bot. Himal. Mts. 2(1): pl. 13. 1833.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517761,बिखमा  (Bikhma),बिखमा ,Bikhma,Aconitum naviculare (Brühl) Stapf,Ann. Roy. Bot. Gard. (Calcutta) 10: 154. 1905.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517789,"अतिसिँगी बिख, बिख  (Atisingi bikh, Bikh)","अतिसिँगी बिख, बिख ","Atisingi bikh, Bikh",Aconitum novoluridum Munz,Gentes Herbarum 6: 472. 1945.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517817,निर्मसी  (Nirmasi),निर्मसी ,Nirmasi,Aconitum orochryseum Stapf,Bull. Misc. Inform. Kew 1922(4): 149. 1922.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000517831,बिखमा  (Bikhma),बिखमा ,Bikhma,Aconitum palmatum D.Don,Prodr. Fl. Nepal. 196. 1825.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000518004,मधु बिख  (Madhu bikh),मधु बिख ,Madhu bikh,Aconitum rotundifolium Kar. & Kir.,Bull. Soc. Imp. Naturalistes Moscou 15(2): 139. 1842. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000518103,"बिख, अतिविष  (Bikh, Atibish)","बिख, अतिविष ","Bikh, Atibish",Aconitum spicatum (Brühl) Stapf,Ann. Roy. Bot. Gard. (Calcutta) 10: 165. 1905. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000518301,"मधु बिख, बिख  (Madhu bikh, Bikh)","मधु बिख, बिख ","Madhu bikh, Bikh",Aconitum violaceum Jacquem. ex Stapf,Ann. Roy. Bot. Gard. (Calcutta) 10: 144. 1905. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000519082,जिउन्ती  (Jiunti),जिउन्ती ,Jiunti,Actaea frigida (Royle) Prantl,Bot. Jahrb. Syst. 9: 246. 1888.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000535011,"रतन जोत, धनेरो  (Ratan jot, Dhanero)","रतन जोत, धनेरो ","Ratan jot, Dhanero",Anemonastrum elongatum (D.Don) Holub,Folia Geobot. Phytotax. 8(2): 165. 1973.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200027146,"रतन जोत, काङ्ग्रे झार  (Ratan jot, Kangre jhar)","रतन जोत, काङ्ग्रे झार ","Ratan jot, Kangre jhar",Anemonastrum obtusilobum (D.Don) Mosyakin,Phytoneuron 2018-55: 7. 2018. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000535021,रथबिरथ  (Rathabiratha),रथबिरथ ,Rathabiratha,Anemonastrum polyanthes (D.Don) Holub.,Folia Geobot. Phytotax. 8(2): 165. 1973. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001331086,"झारे जरा, जिब्रे झार  (Jhare jara, Jibre jhar)","झारे जरा, जिब्रे झार ","Jhare jara, Jibre jhar",Anemonastrum trullifolium (Hook.f. & Thomson) Mosyakin,Phytoneuron 2018-55: 8. 2018. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001129628,एक आँख्ले पूmल  (Ek ankhle phul),एक आँख्ले पूmल ,Ek ankhle phul,Caltha palustris L.,Sp. Pl. 1: 558. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609425,रनसाग  (Ransag),रनसाग ,Ransag,Clematis acuminata DC.,Syst. Nat. 1: 148. 1817. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609467,रङ्गेली गुरुबुटी  (Rangeli gurubuti),रङ्गेली गुरुबुटी ,Rangeli gurubuti,Clematis alternata Kitam. & Tamura,Acta Phytotax. Geobot. 15: 129. 1954.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609565,जुँगे लहरा  (Junge lahara),जुँगे लहरा ,Junge lahara,Clematis barbellata Edgew.,Trans. Linn. Soc. London 20(1): 25. 1846.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609625,"जुँगे लहरा, पिनासे लहरा, मह गाग्री  (Junge lahara, Pinase lahara, Maha gagri)","जुँगे लहरा, पिनासे लहरा, मह गाग्री ","Junge lahara, Pinase lahara, Maha gagri",Clematis buchananiana DC.,Syst. Nat. 1: 140. 1817. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609748,भैँसी लहरा  (Bhainsi lahara),भैँसी लहरा ,Bhainsi lahara,Clematis connata DC.,Prodr. 1: 4. 1824. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000609987,जुँगे लहरा  (Junge lahara),जुँगे लहरा ,Junge lahara,Clematis gouriana Roxb. ex DC.,Syst. Nat. 1: 138. 1817.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610013,भेँडे कुरो  (Bhende kuro),भेँडे कुरो ,Bhende kuro,Clematis grewiiflora DC.,Syst. Nat. 1: 140. 1817. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610296,"जुँगे लहरो, अङ्गुरी झार  (Junge laharo, Anguri jhar)","जुँगे लहरो, अङ्गुरी झार ","Junge laharo, Anguri jhar",Clematis montana Buch.-Ham. ex DC.,Syst. Nat. 1: 164. 1817.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610341,भैँसी लहरा  (Bhainsi lahara),भैँसी लहरा ,Bhainsi lahara,Clematis napaulensis DC.,Syst. Nat. 1: 164. 1817. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610556,सेतो जुही  (Seto juhi),सेतो जुही ,Seto juhi,Clematis puberula Hook.f. & Thomson,Fl. Brit. India 1: 4. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610666,सिकारी लहरा  (Sikari lahara),सिकारी लहरा ,Sikari lahara,Clematis smilacifolia Wall.,Asiat. Res. 13: 402. 1820.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610787,पहेँलो जुँगे लहरा  (Pahenlo junge lahara),पहेँलो जुँगे लहरा ,Pahenlo junge lahara,Clematis tibetana Kuntze,Verh. Bot. Vereins Prov. Brandenburg 26: 172. 1885.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000610989,रसगार्गी  (Rasgargi),रसगार्गी ,Rasgargi,Clematis zeylanica (L.) Poir.,Encyl. Suppl. 2. 296. 1811. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000639809,मौरे मुलो  (Maure mulo),मौरे मुलो ,Maure mulo,Delphinium brunonianum Royle,Ill. Bot. Himal. Mts. 56. 1834.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000639822,तिमुसा  (Timusa: Amchi),तिमुसा ,Timusa: Amchi,Delphinium caeruleum Jacquem. ex Cambess.,"Voy. Inde 4(Bot.): 7, pl. 6. 1844. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000639976,बोेङ मार  (Bong mar),बोेङ मार ,Bong mar,Delphinium densiflorum Duthie ex Huth,Bot. Jahrb. Syst. 20(3): 393. 1895.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
