"taxonID","habitat"
"taxon-1-Hernandia_guianensis","Habitat: occasional to frequent in rain forest and secondary forest, as well as on shell-ridges, in swamp forest or along flooded river banks, also found on laterite soil and in mixed forest on light brown sandy loam, lowland ."
"taxon-1-Sparattanthelium_aruakorum","Habitat: on white sand in clearings and wallaba (Eperua) bush, lowland ."
"taxon-2-Sparattanthelium_guianense","Habitat: mixed forest on brown or white sand, lowland ."
"taxon-3-Sparattanthelium_wonotoboense","Habitat: forest near granite rocks, savanna forest, non-flooded moist forest, high forest along rivers and wallaba (Eperua) forest, 0-400 m elev."
"taxon-1-Hedyosmum","Habitat: Mid-elevations ."
"taxon-1-Hedyosmum_tepuiense","Habitat: wet montane forest and riparian habitats, 1200-2600 m elev."
"taxon-1-Peperomia_alata","Habitat: from sea level up to 1700 m elev."
"taxon-2-Peperomia_angustata","Habitat: in forests, from sea level up to 2400 m elev."
"taxon-3-Peperomia_blanda","Habitat: above 200 m, up to 1100 m elev."
"taxon-4-Peperomia_delascioi","Habitat: Altitudes above 2000 m ."
"taxon-5-Peperomia_emarginella","Habitat: from sea level to 600 m elev."
"taxon-6-Peperomia_galioides","Habitat: Altitudes 2250-2500 m, 2700 m ."
"taxon-7-Peperomia_glabella","Habitat: from sea level up to 2400 m elev."
"taxon-8-Peperomia_gracieana","Habitat: in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, between 150-500 m alt."
"taxon-9-Peperomia_haematolepis","Habitat: 200-700 m elev."
"taxon-10-Peperomia_hernandiifolia","Habitat: elev. 500-2000 m ."
"taxon-11-Peperomia_lancifolia","Habitat: from 700-1600 m elev."
"taxon-11-Peperomia_lancifolia","Habitat: from 700-1600 m elev."
"taxon-12-Peperomia_macrostachya","Habitat: in wet forest, from sea level to 1800 m elev."
"taxon-13-Peperomia_magnoliifolia","Habitat: from sea level to over 1200 m elev."
"taxon-14-Peperomia_maguirei","Habitat: up to 700 m elev."
"taxon-15-Peperomia_obtusifolia","Habitat: from sea level to over 1200 m elev."
"taxon-16-Peperomia_ouabianae","Habitat: from sea level to 850-1400 m elev."
"taxon-18-Peperomia_pernambucensis","Habitat: to 700 m elev."
"taxon-20-Peperomia_purpurinervis","Habitat: in dense forest on sandstone, 1120-2750 m elev."
"taxon-21-Peperomia_quadrangularis","Habitat: in savanna forest, up to 200 m elev."
"taxon-22-Peperomia_quadrifolia","Habitat: from 1000-2800 m elev."
"taxon-23-Peperomia_reptans","Habitat: from 300-1900 m elev."
"taxon-25-Peperomia_rotundifolia","Habitat: humid forests from sea level up to 1000 m elev."
"taxon-26-Peperomia_serpens","Habitat: from sea level to 1200 m ."
"taxon-27-Peperomia_tenella","Habitat: in forests especially cloud forests, at high altitudes up to 1580 m ."
"taxon-28-Peperomia_tetraphylla","Habitat: at higher altitudes ."
"taxon-29-Peperomia_transparens","Habitat: on granitic rocks, on 250-850 m elev."
"taxon-30-Peperomia_urocarpa","Habitat: from 200-800-1200? m elev."
"taxon-2-PIPER","Habitat: Weedy species in secondary vegetation, most species are found in the understory of various types of forest, in open spaces or on dark, humid places; from sea level to 2000 m ."
"taxon-1-Piper_adenandrum","Habitat: from sea level to 500 m elev."
"taxon-2-Piper_aduncum","Habitat: in open or somewhat shady places."
"taxon-3-Piper_aequale","Habitat: in forest or even in secondary vegetation, often on granitic outcrops; from sea level to 1500 m elev."
"taxon-4-Piper_alatabaccum","Habitat: from understory of mixed forest (on slopes); to 750 m elev."
"taxon-5-Piper_amalago","Habitat: from sea level to 1500 m elev."
"taxon-6-Piper_angustifolium","Habitat: in primary forest, up to 500 m elev."
"taxon-7a-Piper_anonifolium","Habitat: mainly in understory of primary forest, on various soils and granite, also in swampy forest, montane, mossy forest and occasionally in clearings; from 10-700 m elev.."
"taxon-8-Piper_arboreum","Habitat: in moist tropical rain forest high, dense, mixed or swamp forest, occasionally in secondary vegetation, from sea level to 1500 m elev."
"taxon-9-Piper_augustum","Habitat: often in humid places, also recorded from secondary vegetation, from sea level to 1500 m elev."
"taxon-10-Piper_aulacospermum","Habitat: in lowland moist forest, 200-450 m elev."
"taxon-11-Piper_avellanum","Habitat: in (dense) forest, in river-bank or marsh forest and in secondary vegetation."
"taxon-12-Piper_bartlingianum","Habitat: in forest on terra firme and in marsh forest, on sand, clay or granite, up to 700 m elev."
"taxon-13-Piper_bolivaranum","Habitat: 800-1100 m elev."
"taxon-14-Piper_brasiliense","Habitat: up to 650 m elev."
"taxon-15-Piper_brownsbergense","Habitat: from sea level to 700 m elev."
"taxon-16-Piper_cernuum","Habitat: in moist forest, swampy vegetation and stream sides, from sea level to 700 m elev."
"taxon-17-Piper_ciliomarginatum","Habitat: to850 m elev."
"taxon-18-Piper_consanguineum","Habitat: understorey of primary forest or swampy forest, or open forest on laterite; up to 650 m elev."
"taxon-19-Piper_coruscans","Habitat: riverine flood plain forest on white and brown sands, from mud in wet forest on granitic rocks, red clay or deep mud along river, also from swamp forest, from sea level to 650 m elev."
"taxon-21-Piper_cyrtopodum","Habitat: virgin forest, mossy cloud forest, forest on granite and from open places, up to 700 m elev."
"taxon-22-Piper_demeraranum","Habitat: in dense forest, montane forest, growing on brown sand with granite boulders or on sandstone, from 20-720 m elev."
