Wfo,General
wfo-0001028905,"Solanum lacinatum and S. aviculare are the two commonly cultivated species of the Archaesolanum clade; both have been used in the alkaloid industry (see Symon, 1994 for a summary) in the ex-Soviet Union, Australia and New Zealand. The two taxa are difficult to distinguish from herbarium specimens without notes on mature fruit colour; Baylis (1954) clarified their differences. Solanum aviculare is diploid, with orange or red mature fruit, and about 600 seeds per fruit; S. laciniatum is tetraploid, with green mature, and ca. 200 seeds per fruit. Solanum laciniatum may be a hybrid involving S. aviculare and/or S. vescum (Symon, 1981), but these ideas have not been tested using molecular methods. Crosses between Solanum laciniatum have been made with the diploid species S. aviculare, S. simile, S. linearifolium and S. vescum and the tetraploid species S. symonii (summarized in Symon, 1994)."
wfo-0001026849,"Solanum capsiciforme is a distinctive species in its small, linear leaves and fruits with very little flesh. It shares similar habit, linear leaves and green fruits with S. symonii and S. simile. Crosses between S. capsiciforme and other members of the Archaesolanum clade have not yet been attempted (Symon, 1994). Symon (1981) has suggested that S. capsiciforme is spreading E towards South Australia along roadsides and disturbed areas. The type locality, Lake Gillies, is west of Iron Baron, Eyre Peninsula, South Australia."
wfo-0001029151,"According to Symon (1981), variation in plant and leaf size in Solanum lucani due to difference in vigor may be substantial. In addition, specimens collected from rocky outcrops away from stream beds tend to have smaller and narrower leaves. Solanum lucani is similar and probably related to S. echinatum, from which it differs in its larger discolorous leaves, more abundant flowers and fruits, and in its ecology. From S. seitheae, to which it is less closely related, it differs in leaf and fruit characters; with smaller leaves and fruits that are not bony. The collector of the type specimens was August Lucanus, so the epithet is not correctable to “lucanii”. This species is related to S. echinatum, but differs by the sparsely prickly branchlets with 3-80 prickles per dm (vs. 200-660 for S. echinatum); branchlet prickles 6-10 times longer than wide (10-20 times for S. echinatum); the dense stellate hairs on the branchlets (vs. very dense for S. echinatum); the very long petioles, 65-115% of lamina length (vs. 25-55% for S. echinatum); and the deltate calyx lobes 1-2.5 mm long (vs. rostrate to attenuate, 3-6 mm long for S. echinatum). Etymology: From the Latin longissimus meaning ‘longest’, in reference to the exceptionally long petioles of this species, sometimes exceeding the lamina in length."
wfo-0001429778,"A species related to S. bahianum Knapp, from which differs by having bifoliate and geminate sympodial units, cuspidate calyx lobes, glabrous young stems and leaves, and pedicels with a constriction at the distal end that becomes swollen in fruit."
wfo-0001029091,"Poor specimens of Solanum linearifolium can be confused with narrow-leaved specimens of S. vescum, but the extremely well-developed sinus tissue (often exceeding the petal apices) in flowers of S. linearifolium is diagnostic. The brownish speckled fruits of S. linearifolium might be intermediate between the red-fruited and green-fruited members of the Archaeosolanum clade. Crosses have been made between Solanum linearifolium and the diploid species S. aviculare and S. simile and the tetraploid species S. laciniatum and S. symonii. I.I. Gerasimenko invalidly published the name Solanum linearifolium in 1965, without citing a specific type specimen, a requirement of the International Code of Botanical Nomenclature after 1958 (Article 37.1; Greuter et al., 2000). Plant material cited was grown in Moscow from seed collected in an unspecified locality near Canberra, but no specimens nor herbaria were cited. Symon (1981) validly published the name with a holotype specimen he considered to be likely to have been from the same region as Gerasimenko’s material. Lake George is a well-known locality for this species and it is likely that the original seed grown by Gerasimenko came from this site (Gerasimenko, 1965). Additional specimens grown from seeds gathered from the type collection are at ADW and NSW, but are not isotype material."
wfo-0001030385,"Solanum physalidicalyx had long been recognised as a synonym of S. tweedieanum, a morphologically similar glandular-pubescent species, but Knapp et al. (2020) recognised it as distinct and unravelled the complex set of names surrounding these two species. Solanum physalidicalyx differs from S. tweedieanum in its conspicuously inflated calyx in fruit (as opposed to merely accrescent and tightly investing the berry) and in its anthers 3–3.5 mm long (versus 4–5 mm in S. tweedieanum, although some overlap can occur). The two species are partly sympatric in Argentina and in the absence of mature fruit, can be very difficult to distinguish, although in general plants of S. physalidicalyx are more herbaceous and delicate (usually annuals?) than those of S. tweedieanum, which are woody and rhizomatous."
wfo-0001031052,"Solanum sarrachoides is morphologically similar to S. nitidibaccatum. The two taxa can be distinguished based on generally truncate leaf bases, leaf-opposed inflorescences that are umbellate to sub-umbellate with fewer flowers (2-5, rarely 6-7), shorter calyx lobes 1.5-2.0 mm long, and a corolla with yellow-green central eye in S. sarrachoides, compared to S. nitidibaccatum which has attenuate to cuneate leaf bases, internodal inflorescences that are racemose with more flowers (4-8, occasionally up to 9-10), longer calyx lobes 1.7-2.5 mm long, and a corolla with yellow-green central eye with black-purple V- or U-shaped margins. The buds of S. sarrachoides are included in the calyx until just before anthesis and the berries are usually matte instead of shiny as they are in S. nitidibaccatum. Solanum sarrachoides is a diploid species native to north-eastern and central Argentina, Paraguay and southernmost Brazil. The introduction of the species to Europe and North America is largely due to trade with South America and the importation of seeds and grain together with the practice of spreading wool waste ('shoddy') as manure, and based on herbarium records seems to have been introduced some time at the beginning of the 20th century. Despite its introduction in the early 1900s, the species remains relatively uncommon in both Europe and North America, with sporadic records from elsewhere, including South Africa (e.g., Eastern Cape). Within the Eastern Hemisphere, S. sarrachoides has often been confused with S. nitidibaccatum and records of S. sarrachoides or S. nitidibaccatum in the literature should be taken with caution due to common misidentification of voucher material. Many regional treatments do not separate between these morphologically very similar species.
"
wfo-0001026782,"Solanum campechiense can be distinguished from other New World spiny Solanum species by its small stature, abundant straight prickles, and deeply lobed leaves with serrate margins. The fruits apparently turn purplish when ripe. In Chiapas, the label of López & Hernández s.n. (MEXU) says that “Se comen la fruta los peces cuando sube el nivel de agua”. The seeds differ from the usual yellow and slightly foveolate; the surface cells seem inflated and probably serve for flotation of a species often found on mud flats or edges of drying ponds. Specimens have been seen which begin flowering when the plants are only 2 cm tall. Plants of S. campechiense from Costa Rica may have flowers with smaller anthers than specimens from Mexico and Guatemala, based on the measurements in Nee (1993) and Gentry and Standley (1974), but this remains to be documented by examining herbarium specimens from these areas. "
wfo-0001030987,"Solanum salamancae is a distinctive species with winged or strongly spinescent stems, lacking glandular pubescence and with accrescent, inflated calyces with invaginate bases that completely enclose the berry. Other taxa with similarly accrescent calyces (S. hunzikeri, S. nitidibaccatum, S. physalidicalyx, S. sarrachoides, S. tweedieanum) are densely viscid-glandular pubescent. The strongly inflated calyces of S. salamancae are most similar to those of S. physalidicalyx; accrescent calyces of these similar species only partially cover the berry or are tightly appressed to it (e.g., S. tweedieanum)."
wfo-0001019990,"The domesticated taxon C. annuum var. annuum belongs to the Annuum clade, together with C. chinense, C. frutescens and C. galapagoense. The three domesticated species and their conspecific wild populations constitute the Capsicum annuum primary gene pool. The vast majority of the modern landraces, varietals and hybrids of chili peppers belong to this variety and it is consequently the most intensively studied species of Capsicum with regard to diversity, domestication and genetics. Conversely, a full comprehension of its taxonomy has not been achieved in the last 50 years. Research indicates that its domestication could have been initiated in central-east Mexico over 6,500 years ago. Due to the selective pressure for domestication and diversification, defining a characteristic group of traits for var. annuum is difficult; however, the most distinctive features are its herbaceous to shrubby, annual or perennial habit, the solitary axillary flowers (rarely two or more), the strongly 5–10-nerved calyx, the large white (or purple) corollas (up to nearly 22 mm in diameter) and the usually persistent and pendent fruits, which are highly variable in size, form, colour and pungency. Some of these traits contrast with those of var. glabriusculum which has a shrubby habit, 5-nerved calyx, smaller corollas (? 12 mm in diameter) and small (< 10 mm in diameter), globose, ellipsoid or ovoid, erect, red or red-orange, deciduous fruits."
