Wfo,Distribution
wfo-0001028905,"New Zealand and Australia, from southeastern South Australia, Victoria and Tasmania, on a variety of soil types; adventive in West Australia (fide Symon, 1981, who also considered S. laciniatum as adventive in New Zealand). In hollows in stabilized sand dunes, creek edges and roadsides in mostly mesic areas."
wfo-0001026849,"Western and South Australia in dry areas of less than 550 m rainfall; solodized solonetz and solodic soils to solonized brown soils (calcareous and sandy earths), usually in disturbed sites on sandy soils. "
wfo-0001029151,"Endemic to Australia in Western Australia, Northern Territory, and Queensland. The species occurs from about Willeroo Stn. in N.T. westward to near Derby and Broome and mainly south of the King Leopold Range. It occurs on disturbed sites and particularly on sand bars and levees of the river systems, sandstone ridges, rocky outcrops and in the gravelly washes between rock masses on sandy and clayey soils, low eucalypt woodland with spinifex (Triodia spp.) in the understorey"
wfo-0001429778,"Solanum knappiae is endemic to northeastern Brazil and has been found in the states of Alagoas and Pernambuco, occurring in fragments of tropical Atlantic Forest from sea level up to 750 m a.s.l. "
wfo-0001029091,"Southeastern Australia in eastern Victoria and south eastern New South Wales, in coastal ranges and table lands. Often in disturbed sites in wetter regions, forests tracks, rocky outcrops, creek and river gorges and on roadsides in eucalypt woodlands."
wfo-0001030385,"Solanum physalidicalyx occurs from southern Bolivia (Depts. Santa Cruz, Tarija) to central Argentina (Provs. Catamarca, Córdoba, Jujuy, La Rioja, Tucumán, Salta, San Luis, Santiago del Estero). In dry forests and Chaco woodlands, often in the shade of trees or hedges, from 300 to 2,500 m elevation (two collections from Salta have elevations of 2,700 to 3,100 m)."
wfo-0001031052,"Solanum sarrachoides is native to southern South America, occurring in Brazil (States of Paraná, Rio Grande do Sul, Santa Catarina, São Paulo,), Bolivia (Dept. Santa Cruz), Argentina (Provs. Buenos Aires, Catamarca, Chaco, Entre Ríos, Formosa, San Luis, Santiago del Estero), Paraguay (Depts. Boquerón, Nueva Asunción, Presidente Hayes) and Uruguay (Depts. Florida, Lavalleja, Montevideo, San José). The species is introduced globally as an agricultural weed. It grows in urban areas, along riversides, and other disturbed areas; between 0 - 2,300 m elevation in its native range, between 0 - 800 (1,400) m in the introduced range.
"
wfo-0001026782,"Southernmost Texas, both coasts of Mexico, Guatemala to Costa Rica; Greater Antilles; Colombia, Ecuador and Peru, often along muddy edges of ephemeral lakes and streams in tropical dry forest, 0-100 (-900) m in elevation. There are several records from coastal Brazil, but they remain suspect: Brazil. Rio de Janeiro: ""data probably doubtful"" in handwriting of C. V. Morton and printed label with ""Plantae Brasiliae et Indiae occidentales"" with the latter crossed out, 4 Dec (fl), Carvalho s.n. (GH). Rio Grande do Sul: Porto Alegre, in ruderalis prope Alfandega, Apr 1897 (fl), E. M. Reineck s.n. (E). The Reineck collection would seem to be a solid record, but there are also specimens of S. persicifolium Dunal collected at Porto Alegre, ad margines viarum prope Arraial da Gloria, Nov 1898 (fl,fr), E. M. Reineck s.n. (E) and cidade da Bahia, ad margines prope Alfandega, Oct 1899 (fl,fr), E. M. Reineck s.n. (E), so that either Reineck was recording stray waifs of these West Indian species at Brazilian port towns, or the labels are incorrect."
wfo-0001030987,"Solanum salamancae is endemic to Argentina (Provs. Catamarca, Salta, Tucumán). In dry forests (“chaco serrano”), in the transition zone between forest and prepuna, often at seasonal stream margins in sandy soils or at field edges, from 1,200 to 3,000 m elevation."
wfo-0001019990,"Capsicum annuum var. annuum is the most extensively cultivated pepper worldwide; found in diverse habitats throughout its wide distribution and is well adapted to the highlands environments (0–2,600 m elevation)."
wfo-0001030389,"Solanum physalifolium is an Andean species, occurring from southern Peru (Depts. Apurímac, Cusco) through Bolivia (Depts. Chuquisaca, Cochabamba, La Paz, Potosí, Santa Cruz, Tarija) to northern Argentina (Provs. Catamarca, Jujuy, Salta). In dry interAndean valleys, often along streams or in the shade of small trees, from 1,500 to 3,500 m elevation."
wfo-0001026988,"Native to southern South America, but introduced globally in temperate and subtropical areas. It grows in humid, disturbed areas between rocks, along water sources and roads, and in cultivations, common in areas with human disturbance; between sea level and 1,900 (-2,500) m elevation. Native distribution includes littoral Argentina (Provs. Buenos Aires, Chaco, Córdoba, Corrientes, Entre Rios, Jujuy, La Pampa, La Rioja, Mendoza, Río Negro, Salta, San Luis, Santa Fé, Tucumán), southern Brazil (Provs. Mato Grosso do Sul, Minas Gerais, Rio de Janeiro, Paraná, Rio Grande do Sul, São Paulo and Santa Catarina), Paraguay (Depts. Amambay, Canindeyú, Itapúa, Presidente Hayes) and Uruguay (Colonia, Florida, Lavalleja, Maldonado, Montevideo, Rivera, Rocha, Salto, San José, Tacuarembó)
"
wfo-0001027811,"Solanum emulans is endemic to North America and is the most common species of black nightshade in eastern North America east of the Rocky Mountains from Maine to North Carolina and into Canada. Plants collected near Vancouver (British Columbia) may have been introduced along the railways; Common in disturbed habitats such as riverbanks, gardens, rocky outcrops between sea level and 1,120 m elevation."
wfo-0001028687,"Solanum interius is endemic to North America, and the most common species of morelloid in the Great Plains. It is less common west of the Rocky Mountains, and although it does extend to Arizona and western New Mexico, S. interius does not occur on the Gulf Coast where it is replaced by S. nigrescens. Records of S. interius for Canada (Saskatchewan, Harms 2006) have not been verified with voucher specimens, although it is to be expected there. In open habitats in sand hills and low forest, often in shade under trees between (100-)500 to 2,500 m elevation."
wfo-0001021586,"Only known from high altitudes in northern Chile.
"
wfo-0001021585,"This species is confined to southern Peru, and possibly northern Chile (Martinez s.n., Tarapaca, Chapiquina, SGO)."
wfo-0001021589,Exodeconus prostratus is confied to the coastline of middle Peru. 
wfo-0001021588,Confined to the Galapagos Islands.
wfo-0001021587,Exodeconus maritima is known from southern Peru.
wfo-0001028351,"Endemic to Chile [Región III (Atacama)], ca. 800 m in elevation."
wfo-0001028657,Endemic to region V (Valparaiso) of Chile.
wfo-0001026642,"Endemic to Chile [Regions I (Tarapacá), II (Antofagasta), III (Atacama)]. On steep, sandy or gravelly hillsides, 100-800 m in elevation."
wfo-0001031072,"Native to tropical Africa, but introduced worldwide as a cultivated plant. It is widely cultivated for leaves and fruits, and grows in open areas, in a wide variety of habitats, in wet forests or drier areas, along roads and at field edges; often cultivated; between 0 - 2,300 m elevation.
"
wfo-0001025855,"Endemic to Indonesia and is found along the mountainous volcanic spine of Java, Bali and Lombok (Lesser Sunda Islands). It grows in montane habitats, in grassy areas along forest margins or in clearings; between 1,700 - 3,100 m elevation.
"
wfo-0001029815,"Widespread species native to Eurasia (western Europe to Japan), northern Africa, and Australia, sporadically introduced in South Africa and naturalised locally in temperate North America. It is a common weed of cultivations, open spaces in forests and roadsides; found in disturbed areas between 0-2,200 (3,500) m elevation.
"
wfo-0001030626,"Endemic to the escarpment running from the island of Bioko (Fernando Po) in Equatorial Guinea to Lake Oku in Cameroon; most collections we have seen are from the slopes of Mount Cameroon. It grows at forest margins, in clearings and along roadsides; between 2,100 - 4,000 m elevation.
"
wfo-0001029498,"From the Arabian Peninsula (Saudia Arabia and Yemen) to Egypt and south in eastern Africa to Kenya and Tanzania, we have only seen a single collection from eastern Democratic Republic of the Congo. It grows in open areas and along streams in forests and dry areas, also cultivated in eastern Africa; from 800 - 3,000 (-3,500) m elevation.
"
