WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000514908,Seiceamóir,Acer pseudoplatanus,3,1,,ga,IE,
wfo-0000514908,Crann bán,Acer pseudoplatanus,4,0,,ga,IE,
wfo-0000514908,Crann sicimír,Acer pseudoplatanus,5,0,,ga,IE,
wfo-0000514908,Crann siceamóir,Acer pseudoplatanus,6,0,,ga,IE,
wfo-0000042097,Athair thalún,Achillea millefolium,11,0,,ga,IE,
wfo-0000042097,Luibh an tinneas droma,Achillea millefolium,12,0,,ga,IE,
wfo-0000042097,Luibh na ndaitheacha,Achillea millefolium,13,0,,ga,IE,
wfo-0000042097,Athair talmhan,Achillea millefolium,14,0,,ga,IE,
wfo-0000042097,Lus na fola,Achillea millefolium,15,0,,ga,IE,
wfo-0000042097,Lus na gcluas,Achillea millefolium,16,0,,ga,IE,
wfo-0000042097,Athair talmhuin,Achillea millefolium,17,0,,ga,IE,
wfo-0000042097,Athairthalmhuin coitchion,Achillea millefolium,18,0,,ga,IE,
wfo-0000033807,Lus corráin,Achillea ptarmica,22,1,,ga,IE,
wfo-0000033807,Roibhe,Achillea ptarmica,23,0,,ga,IE,
wfo-0000033807,Cruadhlus,Achillea ptarmica,24,0,,ga,IE,
wfo-0000517689,Dathabha dubh,Aconitum napellus,27,0,,ga,IE,
wfo-0000517689,Fuath an mhadra,Aconitum napellus,28,0,,ga,IE,
wfo-0000350733,Feileastram cumhra,Acorus calamus,30,1,,ga,IE,
wfo-0000521309,Moscadal,Adoxa moschatellina,34,1,,ga,IE,
wfo-0000521573,Lus an easpaig,Aegopodium podagraria,40,1,,ga,IE,
wfo-0000521573,Lus an ghúta,Aegopodium podagraria,41,0,,ga,IE,
wfo-0000521573,Lus an easbuig,Aegopodium podagraria,42,0,,ga,IE,
wfo-0000521573,Gúta,Aegopodium podagraria,43,0,,ga,IE,
wfo-0000522287,Crann cnó capaill,Aesculus hippocastanum,45,1,,ga,IE,
wfo-0000522287,Cran-geanmchno,Aesculus hippocastanum,46,0,,ga,IE,
wfo-0000522564,Peirsil amaide,Aethusa cynapium,48,1,,ga,IE,
wfo-0000522564,Peirsil na n-amadán,Aethusa cynapium,49,0,,ga,IE,
wfo-0001006654,Marbhdhraighean,Agrimonia eupatoria,51,1,,ga,IE,
wfo-0001006654,Méirín na mágh,Agrimonia eupatoria,52,0,,ga,IE,
wfo-0001006654,Geirbhileach airgeadán,Agrimonia eupatoria,53,0,,ga,IE,
wfo-0001006654,Marbhdhruidhm,Agrimonia eupatoria,54,0,,ga,IE,
wfo-0001006654,Méirínína maighe,Agrimonia eupatoria,55,0,,ga,IE,
